date,asset,close,open,high,low,pre_close,change,pct_chg,vol,amount
2023-02-15,000001.SH,3280.4919,3294.015,3296.1995,3274.5505,3293.2825,-12.7906,-0.3884,269939123.0,357621816.1
2023-02-16,000001.SH,3249.0295,3281.7352,3308.8279,3231.3421,3280.4919,-31.4624,-0.9591,380863545.0,468382512.2
2023-02-17,000001.SH,3224.0243,3244.7325,3262.4729,3223.2581,3249.0295,-25.0052,-0.7696,278451237.0,355625842.5
2023-02-20,000001.SH,3290.3383,3230.4728,3291.0388,3225.8427,3224.0243,66.314,2.0569,325007733.0,397720315.3
2023-02-21,000001.SH,3306.5236,3291.6312,3308.7908,3282.436,3290.3383,16.1853,0.4919,324409449.0,390691271.6
2023-02-22,000001.SH,3291.1477,3292.0489,3307.0343,3286.7207,3306.5236,-15.3759,-0.465,255403985.0,320515620.0
2023-02-23,000001.SH,3287.477,3293.5219,3307.4385,3275.3621,3291.1477,-3.6707,-0.1115,262324304.0,334364534.4
2023-02-24,000001.SH,3267.1597,3287.2553,3288.3922,3253.9748,3287.477,-20.3173,-0.618,234206306.0,308004347.7
2023-02-27,000001.SH,3258.0344,3256.9998,3276.5791,3251.7213,3267.1597,-9.1253,-0.2793,242855344.0,324605090.9
2023-02-28,000001.SH,3279.6053,3265.742,3280.4154,3246.1446,3258.0344,21.5709,0.6621,251625032.0,318030137.3
2023-03-01,000001.SH,3312.3478,3279.1364,3315.1604,3272.0351,3279.6053,32.7425,0.9984,318398704.0,384387413.8
2023-03-02,000001.SH,3310.6536,3308.0113,3320.7441,3306.4554,3312.3478,-1.6942,-0.0511,328520016.0,389390626.9
2023-03-03,000001.SH,3328.3927,3314.7727,3330.6046,3302.6231,3310.6536,17.7391,0.5358,343996919.0,388860006.7
2023-03-06,000001.SH,3322.0259,3332.0235,3333.0619,3308.7255,3328.3927,-6.3668,-0.1913,340530446.0,431616811.1
2023-03-07,000001.SH,3285.0988,3320.211,3342.8585,3284.4099,3322.0259,-36.9271,-1.1116,389957956.0,430081145.2
2023-03-08,000001.SH,3283.2479,3271.8798,3283.2479,3263.6927,3285.0988,-1.8509,-0.0563,260443547.0,312822175.7
2023-03-09,000001.SH,3276.0937,3285.9427,3289.06,3259.9999,3283.2479,-7.1542,-0.2179,264021859.0,328825695.5
2023-03-10,000001.SH,3230.0766,3255.5121,3262.147,3229.4959,3276.0937,-46.0171,-1.4046,281135410.0,342198577.6
2023-03-13,000001.SH,3268.6955,3228.1239,3268.6955,3228.1239,3230.0766,38.6189,1.1956,294928087.0,364414206.5
2023-03-14,000001.SH,3245.3123,3261.9219,3262.0025,3216.9927,3268.6955,-23.3832,-0.7154,319906033.0,409976276.1
2023-03-15,000001.SH,3263.3148,3261.0284,3273.1232,3256.8566,3245.3123,18.0025,0.5547,305168798.0,373276384.4
2023-03-16,000001.SH,3226.8912,3244.4699,3257.433,3224.7223,3263.3148,-36.4236,-1.1162,327389632.0,392910208.4
2023-03-17,000001.SH,3250.546,3245.2604,3279.9228,3240.157,3226.8912,23.6548,0.7331,343001022.0,431983057.7
2023-03-20,000001.SH,3234.9103,3253.9302,3267.9931,3231.6459,3250.546,-15.6357,-0.481,392517391.0,480292404.9
2023-03-21,000001.SH,3255.6505,3240.8388,3255.9997,3237.8934,3234.9103,20.7402,0.6411,301810779.0,388047055.9
2023-03-22,000001.SH,3265.7475,3263.4129,3279.3938,3255.7394,3255.6505,10.097,0.3101,290840462.0,382509081.3
2023-03-23,000001.SH,3286.6491,3258.7791,3286.6491,3252.9917,3265.7475,20.9016,0.64,306118393.0,426564792.6
2023-03-24,000001.SH,3265.6537,3282.739,3282.739,3260.8444,3286.6491,-20.9954,-0.6388,324513337.0,430761598.9
2023-03-27,000001.SH,3251.3971,3261.8235,3261.8235,3229.7037,3265.6537,-14.2566,-0.4366,337861206.0,453585768.7
2023-03-28,000001.SH,3245.376,3256.6023,3264.0978,3241.7368,3251.3971,-6.0211,-0.1852,295682660.0,396882943.4
2023-03-29,000001.SH,3240.0568,3253.6212,3254.5564,3229.5848,3245.376,-5.3192,-0.1639,296900508.0,405542776.9
2023-03-30,000001.SH,3261.2485,3243.0683,3263.7379,3220.9846,3240.0568,21.1917,0.6541,299898295.0,401634271.1
2023-03-31,000001.SH,3272.8602,3263.4061,3278.4231,3260.0396,3261.2485,11.6117,0.3561,283613746.0,396689286.3
2023-04-03,000001.SH,3296.396,3277.34,3299.7321,3276.4158,3272.8602,23.5358,0.7191,357676775.0,513390565.5
2023-04-04,000001.SH,3312.5578,3297.183,3312.5615,3290.9925,3296.396,16.1618,0.4903,385871617.0,555811064.0
2023-04-06,000001.SH,3312.628,3302.751,3314.5262,3296.055,3312.5578,0.0702,0.0021,327155424.0,506500167.2
2023-04-07,000001.SH,3327.6457,3312.4813,3328.8455,3308.061,3312.628,15.0177,0.4533,283032247.0,436372798.9
2023-04-10,000001.SH,3315.3578,3331.5051,3332.7152,3309.9171,3327.6457,-12.2879,-0.3693,340819845.0,516434325.4
2023-04-11,000001.SH,3313.5705,3317.0771,3317.4484,3298.2498,3315.3578,-1.7873,-0.0539,320566055.0,466895849.3
2023-04-12,000001.SH,3327.1816,3316.8623,3330.7079,3315.3991,3313.5705,13.6111,0.4108,343025315.0,482066170.1
2023-04-13,000001.SH,3318.3638,3321.2733,3334.4697,3309.2515,3327.1816,-8.8178,-0.265,347862106.0,477587943.4
2023-04-14,000001.SH,3338.1525,3326.3704,3340.0764,3316.8101,3318.3638,19.7887,0.5963,338299275.0,478345417.5
2023-04-17,000001.SH,3385.6095,3337.0605,3385.6095,3336.3881,3338.1525,47.457,1.4217,402809926.0,523790271.0
2023-04-18,000001.SH,3393.3312,3379.2267,3396.1745,3375.7803,3385.6095,7.7217,0.2281,348399486.0,474287388.9
2023-04-19,000001.SH,3370.1283,3391.3549,3394.959,3364.6419,3393.3312,-23.2029,-0.6838,346123443.0,476496941.0
2023-04-20,000001.SH,3367.031,3367.0525,3371.3679,3344.016,3370.1283,-3.0973,-0.0919,350354965.0,499672394.2
2023-04-21,000001.SH,3301.2575,3363.9987,3367.6093,3301.2575,3367.031,-65.7735,-1.9535,387395098.0,530517857.8
2023-04-24,000001.SH,3275.413,3300.8125,3303.0908,3264.9349,3301.2575,-25.8445,-0.7829,354255626.0,473265986.3
2023-04-25,000001.SH,3264.8717,3276.403,3288.5685,3229.4461,3275.413,-10.5413,-0.3218,380895729.0,494240131.4
2023-04-26,000001.SH,3264.1006,3255.2171,3277.9797,3239.9893,3264.8717,-0.7711,-0.0236,357917842.0,480418149.4
2023-04-27,000001.SH,3285.8844,3256.2278,3299.301,3253.1117,3264.1006,21.7838,0.6674,341590534.0,466175350.4
2023-04-28,000001.SH,3323.2746,3283.1224,3324.8808,3283.1224,3285.8844,37.3902,1.1379,401554785.0,514904620.7
2023-05-04,000001.SH,3350.4587,3306.4827,3352.7463,3302.0275,3323.2746,27.1841,0.818,483364916.0,550494850.3
2023-05-05,000001.SH,3334.5028,3350.6538,3364.1417,3321.1872,3350.4587,-15.9559,-0.4762,436504494.0,499294430.5
2023-05-08,000001.SH,3395.0036,3340.9904,3400.1766,3340.9904,3334.5028,60.5008,1.8144,534103659.0,564661993.5
2023-05-09,000001.SH,3357.6707,3402.3938,3418.9534,3356.1183,3395.0036,-37.3329,-1.0996,573013309.0,619108477.5
2023-05-10,000001.SH,3319.1506,3347.7015,3349.7213,3305.2506,3357.6707,-38.5201,-1.1472,451739731.0,489553667.3
2023-05-11,000001.SH,3309.5512,3323.6583,3333.2496,3307.2887,3319.1506,-9.5994,-0.2892,354258271.0,401313953.4
2023-05-12,000001.SH,3272.3619,3304.4582,3319.1307,3271.4311,3309.5512,-37.1893,-1.1237,347314983.0,387081199.3
2023-05-15,000001.SH,3310.7367,3269.8781,3310.7367,3235.8679,3272.3619,38.3748,1.1727,388045887.0,431706863.3
2023-05-16,000001.SH,3290.9874,3310.1607,3317.9012,3282.4918,3310.7367,-19.7493,-0.5965,322479410.0,385386011.2
2023-05-17,000001.SH,3284.232,3281.9664,3298.519,3269.8936,3290.9874,-6.7554,-0.2053,285744050.0,340482661.5
2023-05-18,000001.SH,3297.3199,3288.4112,3313.8622,3284.1679,3284.232,13.0879,0.3985,309967472.0,368435071.0
2023-05-19,000001.SH,3283.5417,3288.8911,3302.3424,3268.2242,3297.3199,-13.7782,-0.4179,285404064.0,359507956.5
2023-05-22,000001.SH,3296.4696,3278.596,3308.5325,3276.5398,3283.5417,12.9279,0.3937,273889998.0,342448401.6
2023-05-23,000001.SH,3246.238,3294.7877,3298.2257,3246.238,3296.4696,-50.2316,-1.5238,275279083.0,324667932.9
2023-05-24,000001.SH,3204.7494,3237.7045,3237.7045,3204.3813,3246.238,-41.4886,-1.2781,288720257.0,342677325.7
2023-05-25,000001.SH,3201.2605,3197.3644,3207.021,3168.5716,3204.7494,-3.4889,-0.1089,283588925.0,347709231.7
2023-05-26,000001.SH,3212.5038,3198.8825,3220.7737,3179.8217,3201.2605,11.2433,0.3512,261700479.0,333319266.0
2023-05-29,000001.SH,3221.4484,3219.7553,3230.9706,3208.955,3212.5038,8.9446,0.2784,297389487.0,377875996.1
2023-05-30,000001.SH,3224.2133,3214.6728,3230.6317,3186.6256,3221.4484,2.7649,0.0858,303532460.0,376622572.9
2023-05-31,000001.SH,3204.5644,3214.6551,3216.3597,3190.2736,3224.2133,-19.6489,-0.6094,294573338.0,384999190.2
2023-06-01,000001.SH,3204.6345,3196.1547,3225.093,3189.5174,3204.5644,0.0701,0.0022,312330759.0,400981483.2
2023-06-02,000001.SH,3230.0686,3212.4489,3233.9916,3211.737,3204.6345,25.4341,0.7937,294667098.0,377507927.7
2023-06-05,000001.SH,3232.441,3231.8108,3244.1801,3221.6254,3230.0686,2.3724,0.0734,278060203.0,357810090.6
2023-06-06,000001.SH,3195.3404,3228.4068,3247.349,3189.2692,3232.441,-37.1006,-1.1478,308285872.0,387492228.8
2023-06-07,000001.SH,3197.7587,3197.4677,3210.3295,3188.0053,3195.3404,2.4183,0.0757,258063400.0,331083866.7
2023-06-08,000001.SH,3213.5855,3194.8348,3225.5263,3180.5354,3197.7587,15.8268,0.4949,293530741.0,353551633.2
2023-06-09,000001.SH,3231.4055,3213.033,3231.4055,3206.1027,3213.5855,17.82,0.5545,314155501.0,413341768.4
2023-06-12,000001.SH,3228.8336,3225.3049,3239.4368,3210.7135,3231.4055,-2.5719,-0.0796,313784444.0,403241619.6
2023-06-13,000001.SH,3233.6734,3223.8958,3235.0854,3215.4989,3228.8336,4.8398,0.1499,280628454.0,377193491.4
2023-06-14,000001.SH,3228.9887,3238.1189,3248.4609,3226.7743,3233.6734,-4.6847,-0.1449,303537260.0,404009517.8
2023-06-15,000001.SH,3252.9751,3230.4512,3252.9751,3229.1452,3228.9887,23.9864,0.7428,313255752.0,437522981.5
2023-06-16,000001.SH,3273.3341,3256.2989,3276.5522,3255.4988,3252.9751,20.359,0.6259,326281846.0,444375632.4
2023-06-19,000001.SH,3255.8057,3271.1635,3271.1635,3251.7789,3273.3341,-17.5284,-0.5355,327753047.0,455226178.2
2023-06-20,000001.SH,3240.3648,3252.5435,3252.8435,3237.7857,3255.8057,-15.4409,-0.4743,298260596.0,433243981.5
2023-06-21,000001.SH,3197.9011,3230.1142,3236.3626,3197.9011,3240.3648,-42.4637,-1.3105,294377372.0,406234561.4
2023-06-26,000001.SH,3150.6189,3177.2293,3181.0758,3144.2484,3197.9011,-47.2822,-1.4785,308129811.0,398859657.4
2023-06-27,000001.SH,3189.4427,3153.3132,3194.4086,3148.2657,3150.6189,38.8238,1.2323,287604327.0,354487810.6
2023-06-28,000001.SH,3189.3758,3183.4865,3192.6589,3157.1229,3189.4427,-0.0669,-0.0021,276231948.0,360118192.5
2023-06-29,000001.SH,3182.3812,3185.4242,3196.5025,3179.5251,3189.3758,-6.9946,-0.2193,250340074.0,340636710.9
2023-06-30,000001.SH,3202.0623,3178.9242,3212.9928,3177.9913,3182.3812,19.6811,0.6184,265379873.0,359739563.4
2023-07-03,000001.SH,3243.975,3209.1623,3246.8605,3209.1623,3202.0623,41.9127,1.3089,312371395.0,421353472.4
2023-07-04,000001.SH,3245.3492,3241.2305,3246.9576,3233.9895,3243.975,1.3742,0.0424,279248721.0,387115944.1
2023-07-05,000001.SH,3222.9469,3240.0486,3241.8353,3218.6022,3245.3492,-22.4023,-0.6903,264016426.0,351234984.7
2023-07-06,000001.SH,3205.5748,3215.8633,3229.4799,3199.7164,3222.9469,-17.3721,-0.539,246119032.0,320808312.6
2023-07-07,000001.SH,3196.6092,3197.4716,3212.0472,3189.2114,3205.5748,-8.9656,-0.2797,255688469.0,313607453.2
2023-07-10,000001.SH,3203.6958,3208.7349,3216.5348,3192.6579,3196.6092,7.0866,0.2217,236560367.0,311462495.6
2023-07-11,000001.SH,3221.3666,3211.1222,3221.6804,3200.3845,3203.6958,17.6708,0.5516,227600467.0,309950254.7
