date,close,state_used,base_position,position,asset_return,gross_return,turnover,cost,net_return,equity,drawdown,risk_action
2019-04-25,5899.9068,趋势上行|波动偏低|价格中性,0.5,0.4391409697826137,-0.041194151419449265,-0.018090039603708783,0.16045356790351223,8.02267839517561e-05,-0.01817026638766054,1.185246762353271,-0.0326370622382961,正常
2019-04-26,5834.3774,趋势上行|波动偏高|价格偏弱,0.75,0.5489667039328978,-0.01110685341673523,-0.006097292711250983,0.10982573415028413,5.491286707514207e-05,-0.006152205578326126,1.1779548806102282,-0.038588477900259543,正常
2019-04-29,5622.4844,趋势上行|波动偏高|价格偏弱,0.75,0.5518533378258512,-0.03631801398380574,-0.02004221724016914,0.0028866338929534052,1.4433169464767026e-06,-0.020043660557115615,1.1543443528316792,-0.05785868410492656,正常
2019-04-30,5682.2357,趋势下行|波动偏高|价格偏弱,0.5,0.35565916868568953,0.010627206008788637,0.0037796632545373313,0.1961941691401617,9.809708457008084e-05,0.0036815661699672506,1.158594147949557,-0.054390128508998936,正常
2019-05-06,5246.8299,趋势下行|波动偏高|价格偏弱,0.5,0.40759481739892905,-0.07662579009174164,-0.0312322749204921,0.051935648713239524,2.596782435661976e-05,-0.03125824274484872,1.1223785308301886,-0.08394823141398988,正常
2019-05-07,5312.496,趋势下行|波动偏高|价格偏弱,0.5,0.28798653496816107,0.0125153857189082,0.00360426256697838,0.11960828243076799,5.9804141215383996e-05,0.003544458425762996,1.126356754870685,-0.08070132400439012,正常
2019-05-08,5292.7459,趋势下行|波动偏高|价格偏弱,0.5,0.28660675354090825,-0.003717668681538777,-0.0010655089515565377,0.001379781427252813,6.898907136264065e-07,-0.0010661988422701642,1.1251558346026587,-0.08168147918843716,正常
2019-05-09,5237.8246,趋势下行|波动偏高|价格偏弱,0.5,0.2883318141231482,-0.010376712020125467,-0.0029919362013962536,0.0017250605822399234,8.625302911199618e-07,-0.0029927987316873735,1.1217884696479092,-0.084429821692807,正常
2019-05-10,5445.5262,趋势下行|波动偏高|价格偏弱,0.5,0.28844407557864365,0.03965417245930691,0.011438011117860893,0.00011226145549547706,5.613072774773853e-08,0.011437954987133144,1.1346194356688268,-0.07395757120576796,正常
2019-05-13,5405.6148,趋势下行|波动偏高|价格偏弱,0.5,0.26130173696564624,-0.007329209067068687,-0.0019151350598094114,0.02714233861299742,1.357116930649871e-05,-0.0019287062291159101,1.1324310880955764,-0.07574363500660908,正常
2019-05-14,5368.2288,趋势下行|波动偏高|价格偏弱,0.5,0.2615862537557637,-0.0069161420824881414,-0.001809167697800659,0.0002845167901174839,1.4225839505874193e-07,-0.0018093099561957177,1.1303821692531795,-0.07741590124986897,正常
2019-05-15,5486.3865,趋势下行|波动偏高|价格偏弱,0.5,0.2638397827168399,0.022010555883907212,0.005807260281886941,0.0022535289610761677,1.1267644805380839e-06,0.005806133517406402,1.136945319053559,-0.07205925479148956,正常
2019-05-16,5527.2751,趋势下行|波动偏高|价格中性,0.5,0.25582311136407443,0.007452737790164754,0.001906582569660564,0.008016671352765459,4.00833567638273e-06,0.0019025742339841812,1.1391084419230393,-0.07029377863899167,正常
2019-05-17,5330.9863,趋势下行|波动偏高|价格中性,0.5,0.2544544267798829,-0.03551276107100232,-0.009036379261692835,0.0013686845841915374,6.843422920957687e-07,-0.009037063603984931,1.1288142464815447,-0.0786955928944515,正常
2019-05-20,5313.1491,趋势下行|波动偏高|价格偏弱,0.5,0.25264781968260885,-0.0033459474469105244,-0.0008453463272345357,0.0018066070972740378,9.033035486370189e-07,-0.0008462496307831726,1.127858987842237,-0.07947524640880355,正常
2019-05-21,5418.0453,趋势下行|波动偏高|价格偏弱,0.5,0.25512138359265835,0.019742754819359387,0.00503679892544559,0.002473563910049492,1.2367819550247461e-06,0.005035562143490565,1.133538391864611,-0.07483988680747367,正常
2019-05-22,5395.4299,趋势下行|波动偏高|价格中性,0.5,0.24809865929257424,-0.004174088393096298,-0.001035585734095887,0.007022724300084104,3.5113621500420523e-06,-0.001039097096245929,1.1323605354131412,-0.07580121799465456,正常
2019-05-23,5267.8266,趋势下行|波动偏高|价格中性,0.5,0.2502403657696946,-0.023650256303024086,-0.005918248787815773,0.002141706477120364,1.070853238560182e-06,-0.005919319641054333,1.1256577314551155,-0.08127184599721715,正常
2019-05-24,5200.774,趋势下行|波动偏高|价格偏弱,0.5,0.24777920935663164,-0.012728702953130555,-0.0031539079538621113,0.002461156413062965,1.2305782065314825e-06,-0.0031551385320686427,1.1221061253726805,-0.0841705605964076,正常
2019-05-27,5354.634,趋势下行|波动偏高|价格偏弱,0.5,0.24863528895275405,0.029584058065203367,0.007355640825436893,0.000856079596122411,4.280397980612055e-07,0.0073552127856388325,1.1303594546928653,-0.07743444019424195,正常
2019-05-28,5354.5254,趋势下行|波动偏高|价格中性,0.5,0.23994380249473926,-2.028149823118941e-05,-4.866419805881916e-06,0.008691486458014791,4.345743229007395e-06,-9.212163034889311e-06,1.1303490416372806,-0.07744293901858923,正常
2019-05-29,5376.5125,趋势下行|波动偏高|价格中性,0.5,0.25131381769600586,0.004106264954873318,0.0010319611222805306,0.011370015201266598,5.685007600633299e-06,0.0010262761146798973,1.1315090918599644,-0.07649614074247457,正常
2019-05-30,5341.9803,趋势下行|波动偏高|价格中性,0.5,0.2511253307647162,-0.006422788006165692,-0.0016129247624800116,0.00018848693128964422,9.424346564482211e-08,-0.0016130190059456563,1.129683946189394,-0.07798577001952112,正常
2019-05-31,5334.2477,趋势下行|波动偏高|价格中性,0.5,0.26263758296827583,-0.0014475156338559225,-0.00038017200738471124,0.011512252203559614,5.756126101779807e-06,-0.0003859281334864911,1.1292479693726114,-0.0783416012503455,正常
2019-06-03,5255.0737,趋势下行|波动偏高|价格中性,0.5,0.26459524521816374,-0.014842580332368183,-0.003927276182713254,0.001957662249887915,9.788311249439573e-07,-0.003928255013838197,1.1248119953750568,-0.08196211047627988,正常
2019-06-04,5160.9769,趋势上行|波动偏高|价格偏弱,0.75,0.40516610696101646,-0.017905895401619243,-0.007254861931525235,0.14057086174285272,7.028543087142636e-05,-0.007325147362396661,1.1165725817539431,-0.08868687330130476,正常
2019-06-05,5158.4652,趋势下行|波动偏高|价格偏弱,0.5,0.26721792168874225,-0.0004866714284266216,-0.0001300473276494533,0.1379481852722742,6.897409263613709e-05,-0.0001990214202855904,1.1163503598928706,-0.08886824413410521,正常
2019-06-06,5030.8005,趋势下行|波动偏高|价格偏弱,0.5,0.267342491203797,-0.024748582194564217,-0.006616347617656731,0.0001245695150547399,6.228475752736995e-08,-0.006616409902414259,1.1089641283171117,-0.09489666530602037,正常
2019-06-10,5098.9383,趋势下行|波动偏高|价格偏弱,0.5,0.12893396705108998,0.013544126824349245,0.0017462980017064296,0.13840852415270702,6.920426207635351e-05,0.001677093739630076,1.1108239651141865,-0.0933787221696869,回撤预警，仓位减半
